timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
61454625,61450495,40.15177891890611,116.25797189992466,49.824856,49.862003,0.0016586967,0.76811457,0.84999996,nan,2,2,0,0
61466619,61462511,40.15177891849583,116.2579718998692,49.82462,49.861767,0.0016586967,0.7681269,0.85001254,nan,2,2,0,0
61654873,61650625,40.15177891563721,116.25797192815348,49.825775,49.8631,0.0016586967,0.50720245,0.4673332,nan,2,2,0,0
61850872,61845927,40.15177888565709,116.25797185630208,49.831722,49.871216,0.0016586967,0.4375098,0.43445653,nan,2,2,0,0
62054764,62050666,40.15177875907299,116.25797170406803,49.836132,49.87678,0.0016586967,0.40501893,0.4232178,nan,2,2,0,0
62258959,62254157,40.15177872469009,116.25797159895232,49.840347,49.88115,0.0016586967,0.38592395,0.42045945,nan,2,2,0,0
62450523,62445965,40.151778758577734,116.25797158772886,49.839966,49.879013,0.0016586967,0.3738754,0.41823176,nan,2,2,0,0
62655407,62651290,40.15177874132147,116.25797162450404,49.839527,49.878532,0.0016586967,0.36558726,0.41685244,nan,2,2,0,0
62854801,62850590,40.15177873484908,116.25797165678081,49.839893,49.877613,0.0016586967,0.3598928,0.4160833,nan,2,2,0,0
63050616,63046219,40.15177876983707,116.25797164561352,49.83825,49.87734,0.0016586967,0.35501826,0.41500846,nan,2,2,0,0
63250811,63246478,40.15177880630279,116.25797161468395,49.839622,49.877552,0.0016586967,0.35187003,0.4145559,nan,2,2,0,0
63454457,63450024,40.15177879671086,116.25797161365351,49.840504,49.87748,0.0016586967,0.34918857,0.41396865,nan,2,2,0,0
63659244,63654704,40.15177880966031,116.25797160809654,49.83965,49.876637,0.0016586967,0.3471807,0.4135102,nan,2,2,0,0
63854506,63850260,40.15177880227749,116.25797156656367,49.839622,49.876953,0.0016586967,0.34588957,0.41323835,nan,2,2,0,0
64046748,64042438,40.15177877854898,116.25797154853633,49.83994,49.878433,0.0016586967,0.3448949,0.41349187,nan,2,2,0,0
64251499,64246224,40.15177877386675,116.25797155124594,49.843704,49.881702,0.0016586967,0.34411687,0.41317418,nan,2,2,0,0
64450876,64446530,40.15177877919996,116.25797155437161,49.84634,49.88472,0.0016586967,0.3436402,0.41244298,nan,2,2,0,0
64659127,64654593,40.1517787626066,116.25797156469767,49.84714,49.884304,0.0016586967,0.34356776,0.41279733,nan,2,2,0,0
64854495,64850479,40.15177874125146,116.25797158457375,49.845062,49.88366,0.0016586967,0.34267926,0.41231418,nan,2,2,0,0
65050842,65046521,40.15177874286578,116.25797164150916,49.846073,49.885242,0.0016586967,0.3423051,0.41203174,nan,2,2,0,0
65258941,65254200,40.151778760379244,116.25797167473537,49.848446,49.887817,0.0016586967,0.3420393,0.41180167,nan,2,2,0,0
65454686,65450631,40.15177875073121,116.25797168444895,49.8505,49.88863,0.0016586967,0.34224236,0.41174048,nan,2,2,0,0
65654599,65650193,40.151778750650315,116.25797166730096,49.851757,49.89084,0.0016586967,0.34206778,0.41155246,nan,2,2,0,0
65858769,65854413,40.151779676032874,116.25797164264182,49.8541,49.891457,0.0016586967,0.34302226,0.4117469,nan,2,2,0,0
66054604,66050421,40.15178308336516,116.2579715770121,49.85254,49.89013,0.0016586967,0.34403095,0.41197178,nan,2,2,0,0
66254229,66250013,40.151789001987005,116.25797150006971,49.8564,49.893356,0.0016586967,0.343421,0.41172487,nan,2,2,0,0
